,Item ID,Item Name - Language Tag,Item Name - Value,Main Image ID,Other Image IDs,Item Keywords
0,B06X9STHNG,nl_NL,"Amazon-merk - vinden. Dames Leder Gesloten Teen Hakken,Veelkleurig Vrouw Blauw,5 UK",81iZlv3bjpL,"['91mIRxgziUL', '91eqBkW06wL', 'A1BHZSKNbkL']","['loafer shoes', 'womens shoes', 'womens fashion', 'womens loafers', 'womenswear', 'block heel shoes', 'loafers', 'womens block heel shoes', 'metallic shoes', 'womens loafer shoes']"
1,B07P8ML82R,es_MX,"22"" Bottom Mount Drawer Slides, White Powder Coat, 10 Pairs",619y9YG9cnL,"['51Fqps5k9YL', '51lCKFuYuWL']","['café claro', 'pistas', 'con', 'cierre', 'Hogar', 'Pistola', 'mcm', 'Almacenamiento', 'en', 'rodamiento', 'deslizadores', 'Cocina', 'Chancla', 'Cerrar', '14', 'Oculto', 'Pro', 'ocultar', 'clóset', 'Muebles', 'Extensión', 'Guías', 'estrecho', 'Bola', 'Mesa', 'Automático', 'oculto', 'pulgadas', 'lento', 'Suave', 'diapositivas', 'dibujar', 'Compartimento', 'Rieles', 'táctico', '22', 'Deslizadores', 'Montaje bajo', 'Completo', 'Paquete', 'ocultación', 'Cierre suave', 'Promark']"
2,B07H9GMYXS,en_AE,"AmazonBasics PETG 3D Printer Filament, 1.75mm, 1 kg Spool 1.75mm AMG10528516-10",81NP7qh2L6L,"['81A0u5L4VAL', '61xhS6iLrZL']","['petg filament', 'petg printer filament', 'translucent yellow printer filament', 'translucent yellow 3D printer filament', 'printer filament', '1kg spool printer filament', '3d printer filament', '1.75mm printer filament', '1kg printer filament', 'petg 3D printer filament']"
3,B07CTPR73M,en_GB,"Stone & Beam Stone Brown Swatch, 25020039-01",61Rp4qOih9L,[],"['couch', 'button', 'reclining', 'sets', 'loveseats', 'rolled', 'daybed', 'set', 'red', 'with', 'tufted', 'chesterfield', 'windmill', 'queen', 'fabric', 'upholstered', 'power', 'vanity', 'homelegance', 'for', 'and', 'size', 'silver', 'wind spinners', 'farmhouse', 'outdoor fountain', 'living', 'savonburg', 'love', 'couches', 'sofas', 'room', 'loveseat', 'a', 'leather', 'arm', 'trundle', 'sofa', 'seat']"
4,B01MTEI8M6,en_AU,"The Fix Amazon Brand Women's French Floral Embroidery Slide Slip-on Loafer, Havana Tan, 6.5 B US",714CmIfKIYL,"['71C4hQAAs2L', '718uEco1DAL', '71BMHcaG5GL', '7105JsM1HYL', '71F5emAT2DL', '81KXLckXuxL', '71iDTnkSlsL']","['zapatos shoe para de ladies mujer womans mocasines', 'designer fashion moda cocktail work wear business office sexy spring fall gifts for her']"
5,B0853X2F4M,en_IN,Amazon Brand - Solimo Designer Autumn Girl 3D Printed Hard Back Case Mobile Cover for Mi Redmi Go,81+4dBN1jsL,"['51wiRu6gT9L', '51DEYNWtfsL', '81RoDPeqygL', '518RypAtk8L']","['backcase', 'cellphonecover', 'Designer Case', 'Hard Case', 'fashion case', 'cover', 'mobile cover', 'protectivecover', 'Printed Cover', 'mobilecase', 'mobileguard', 'phonecase', 'Designer Autumn Girl Mobile Cover', 'polycarbonate cover', 'cases and covers', 'protectivecase', 'backcover', 'phoneguard', 'case', 'mobilecover', 'cellphonecase', 'Mi Redmi Go Case', 'Back Cover', 'phonecover']"
6,B07R91S92W,en_IN,Amazon Brand - Solimo Designer Butterflies Printed Hard Back Case Mobile Cover for Xiaomi Redmi Y2 (D187),61LWeNhjZ9L,"['618uWaH5elL', '61hUyEcVYtL', '61ajxcF6Y1L', '613aK9gtKuL', '614jfuPGINL']",['Xiaomi Redmi Y2 Mobile back case cover transparent slim designer printed stylish new girls boys']
7,B0896LJNLH,en_US,AmazonBasics Serene 16-Piece Old Fashioned and Coolers Glass Drinkware Set,61izEZdhlaL,"['717gxIR99XL', '51fzW5BNdVL', '21xD1NzxObL']","['double', 'crystal']"
8,B0853WVZ6Q,en_IN,Amazon Brand - Solimo Designer Butterflies Neon Light 3D Printed Hard Back Case Mobile Cover for Vivo Y81i,71tgJqobw6L,"['71QdPoaGvYL', '51wiRu6gT9L', '51DEYNWtfsL', '518RypAtk8L']","['backcase', 'cellphonecover', 'Designer Case', 'Hard Case', 'fashion case', 'cover', 'Vivo Y81i Case', 'mobile cover', 'protectivecover', 'Printed Cover', 'mobilecase', 'mobileguard', 'phonecase', 'polycarbonate cover', 'cases and covers', 'protectivecase', 'backcover', 'phoneguard', 'Designer Butterflies Neon Light Mobile Cover', 'case', 'mobilecover', 'cellphonecase', 'Back Cover', 'phonecover']"
9,B07R51S57D,en_GB,UMI by Amazon 6 PCS Stretch Dining Chair Covers Melange Velvet Removable Chair Protector Elastic Slipcovers Turquoise,71E62qS--6L,"['81hrbJmpSDL', '71vIxbNBCnL', '81J1xbXlidL', '81LRCuVt2uL', '81ZpWQjjBbL', '81D1kbLhn-L', '81oqJP-fuYL']",['chair cover^dining chair cover^chair protector^elastic chair cover^removable chair cover^washable chair cover']
